month,mean_total_sub_metering
2006-12-31,10.871203855246408
2007-01-31,10.423051075268818
2007-02-28,9.485664682539683
2007-03-31,10.21263440860215
2007-04-30,6.249953703703704
2007-05-31,8.452441756272401
2007-06-30,7.3718055555555555
2007-07-31,5.681003584229391
2007-08-31,6.97589605734767
2007-09-30,8.205856481481481
2007-10-31,8.67410394265233
2007-11-30,9.818958333333333
2007-12-31,11.636290322580646
2008-01-31,9.785999103942652
2008-02-29,8.447222222222223
2008-03-31,9.454681899641576
2008-04-30,9.57474537037037
2008-05-31,9.019063620071684
2008-06-30,9.775
2008-07-31,7.145094086021506
2008-08-31,2.370116487455197
2008-09-30,8.825185185185186
2008-10-31,8.584408602150537
2008-11-30,9.133541666666666
2008-12-31,8.779390681003584
2009-01-31,10.690165770609319
2009-02-28,9.770535714285714
2009-03-31,9.896258960573476
2009-04-30,9.605254629629629
2009-05-31,9.066241039426524
2009-06-30,7.433611111111111
2009-07-31,5.571012544802867
2009-08-31,5.92078853046595
2009-09-30,9.127152777777777
2009-10-31,9.766173835125448
2009-11-30,10.403865740740741
2009-12-31,11.093189964157705
2010-01-31,11.34336917562724
2010-02-28,12.762202380952381
2010-03-31,9.415613799283154
2010-04-30,9.508402777777778
2010-05-31,10.419086021505377
2010-06-30,9.730462962962964
2010-07-31,5.486962365591398
2010-08-31,4.472916666666666
2010-09-30,7.574861111111111
2010-10-31,9.500179211469534
2010-11-30,9.005098891661971
